location_name,location_url,search_rank,search_term,location_found
Union Square,https://www.tripadvisor.com/Attraction_Review-g60763-d136291-Reviews-Union_Square-New_York_City_New_York.html,76,New York,"New York City, New York"
Apollo Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d136081-Reviews-Apollo_Theater-New_York_City_New_York.html,77,New York,"New York City, New York"
Macy's Herald Square,https://www.tripadvisor.com/Attraction_Review-g60763-d208847-Reviews-Macy_s_Herald_Square-New_York_City_New_York.html,78,New York,"New York City, New York"
Chelsea,https://www.tripadvisor.com/Attraction_Review-g60763-d145990-Reviews-Chelsea-New_York_City_New_York.html,79,New York,"New York City, New York"
Madame Tussauds New York,https://www.tripadvisor.com/Attraction_Review-g60763-d209439-Reviews-Madame_Tussauds_New_York-New_York_City_New_York.html,80,New York,"New York City, New York"
Jazz Clubs & Bars (25),https://www.tripadvisor.com/Attractions-g60763-Activities-c20-t104-New_York_City_New_York.html,81,New York,"New York City, New York"
Battery Park,https://www.tripadvisor.com/Attraction_Review-g60763-d136416-Reviews-Battery_Park-New_York_City_New_York.html,82,New York,"New York City, New York"
Roosevelt Island,https://www.tripadvisor.com/Attraction_Review-g60763-d565031-Reviews-Roosevelt_Island-New_York_City_New_York.html,83,New York,"New York City, New York"
Helicopter Tours (11),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t227-New_York_City_New_York.html,84,New York,"New York City, New York"
Rubin Museum of Art,https://www.tripadvisor.com/Attraction_Review-g60763-d548703-Reviews-Rubin_Museum_of_Art-New_York_City_New_York.html,85,New York,"New York City, New York"
Century 21,https://www.tripadvisor.com/Attraction_Review-g60763-d208037-Reviews-Century_21-New_York_City_New_York.html,86,New York,"New York City, New York"
Madison Square Park,https://www.tripadvisor.com/Attraction_Review-g60763-d501513-Reviews-Madison_Square_Park-New_York_City_New_York.html,87,New York,"New York City, New York"
United Nations Headquarters,https://www.tripadvisor.com/Attraction_Review-g60763-d108686-Reviews-United_Nations_Headquarters-New_York_City_New_York.html,88,New York,"New York City, New York"
Beer Tastings & Tours (5),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t201-New_York_City_New_York.html,89,New York,"New York City, New York"
New Amsterdam Theater,https://www.tripadvisor.com/Attraction_Review-g60763-d548694-Reviews-New_Amsterdam_Theater-New_York_City_New_York.html,90,New York,"New York City, New York"
Alice in Wonderland Statue,https://www.tripadvisor.com/Attraction_Review-g60763-d143372-Reviews-Alice_in_Wonderland_Statue-New_York_City_New_York.html,91,New York,"New York City, New York"
"Strawberry Fields, John Lennon Memorial",https://www.tripadvisor.com/Attraction_Review-g60763-d532132-Reviews-Strawberry_Fields_John_Lennon_Memorial-New_York_City_New_York.html,92,New York,"New York City, New York"
Bars & Clubs (761),https://www.tripadvisor.com/Attractions-g60763-Activities-c20-t99-New_York_City_New_York.html,93,New York,"New York City, New York"
National Museum of the American Indian,https://www.tripadvisor.com/Attraction_Review-g60763-d106184-Reviews-National_Museum_of_the_American_Indian-New_York_City_New_York.html,94,New York,"New York City, New York"
Harlem,https://www.tripadvisor.com/Attraction_Review-g60763-d143388-Reviews-Harlem-New_York_City_New_York.html,95,New York,"New York City, New York"
"Literary, Art & Music Tours (24)",https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t230-New_York_City_New_York.html,96,New York,"New York City, New York"
"Cooper Hewitt, Smithsonian Design Museum",https://www.tripadvisor.com/Attraction_Review-g60763-d106188-Reviews-Cooper_Hewitt_Smithsonian_Design_Museum-New_York_City_New_York.html,97,New York,"New York City, New York"
Park Avenue,https://www.tripadvisor.com/Attraction_Review-g60763-d615518-Reviews-Park_Avenue-New_York_City_New_York.html,98,New York,"New York City, New York"
Majestic Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548873-Reviews-Majestic_Theatre-New_York_City_New_York.html,99,New York,"New York City, New York"
Wall Street,https://www.tripadvisor.com/Attraction_Review-g60763-d136051-Reviews-Wall_Street-New_York_City_New_York.html,100,New York,"New York City, New York"
Union Square Greenmarket,https://www.tripadvisor.com/Attraction_Review-g60763-d218647-Reviews-Union_Square_Greenmarket-New_York_City_New_York.html,101,New York,"New York City, New York"
Central Park Zoo,https://www.tripadvisor.com/Attraction_Review-g60763-d267703-Reviews-Central_Park_Zoo-New_York_City_New_York.html,102,New York,"New York City, New York"
Little Italy,https://www.tripadvisor.com/Attraction_Review-g60763-d143369-Reviews-Little_Italy-New_York_City_New_York.html,103,New York,"New York City, New York"
New York City Ballet (NYCB),https://www.tripadvisor.com/Attraction_Review-g60763-d555633-Reviews-New_York_City_Ballet_NYCB-New_York_City_New_York.html,104,New York,"New York City, New York"
Gulliver's Gate,https://www.tripadvisor.com/Attraction_Review-g60763-d12291624-Reviews-Gulliver_s_Gate-New_York_City_New_York.html,105,New York,"New York City, New York"
Solomon R. Guggenheim Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d108687-Reviews-Solomon_R_Guggenheim_Museum-New_York_City_New_York.html,106,New York,"New York City, New York"
Museum of the City of New York,https://www.tripadvisor.com/Attraction_Review-g60763-d116229-Reviews-Museum_of_the_City_of_New_York-New_York_City_New_York.html,107,New York,"New York City, New York"
World Trade Center Memorial Foundation,https://www.tripadvisor.com/Attraction_Review-g60763-d9868012-Reviews-World_Trade_Center_Memorial_Foundation-New_York_City_New_York.html,108,New York,"New York City, New York"
Saks Fifth Avenue,https://www.tripadvisor.com/Attraction_Review-g60763-d208852-Reviews-Saks_Fifth_Avenue-New_York_City_New_York.html,109,New York,"New York City, New York"
Taxis & Shuttles (64),https://www.tripadvisor.com/Attractions-g60763-Activities-c59-t182-New_York_City_New_York.html,110,New York,"New York City, New York"
The Jewish Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d106187-Reviews-The_Jewish_Museum-New_York_City_New_York.html,111,New York,"New York City, New York"
Belvedere Castle,https://www.tripadvisor.com/Attraction_Review-g60763-d272516-Reviews-Belvedere_Castle-New_York_City_New_York.html,112,New York,"New York City, New York"
Bloomingdale's,https://www.tripadvisor.com/Attraction_Review-g60763-d208898-Reviews-Bloomingdale_s-New_York_City_New_York.html,113,New York,"New York City, New York"
Love Sculpture,https://www.tripadvisor.com/Attraction_Review-g60763-d4303229-Reviews-Love_Sculpture-New_York_City_New_York.html,114,New York,"New York City, New York"
42nd Street,https://www.tripadvisor.com/Attraction_Review-g60763-d3546757-Reviews-42nd_Street-New_York_City_New_York.html,115,New York,"New York City, New York"
"Bar, Club & Pub Tours (24)",https://www.tripadvisor.com/Attractions-g60763-Activities-c20-t240-New_York_City_New_York.html,116,New York,"New York City, New York"
Shopping Tours (24),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t242-New_York_City_New_York.html,117,New York,"New York City, New York"
New-York Historical Society Museum & Library,https://www.tripadvisor.com/Attraction_Review-g60763-d136143-Reviews-New_York_Historical_Society_Museum_Library-New_York_City_New_York.html,118,New York,"New York City, New York"
Multi-day Tours (1),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t288-New_York_City_New_York.html,119,New York,"New York City, New York"
Ski & Snow Tours (1),https://www.tripadvisor.com/Attractions-g60763-Activities-c61-t244-New_York_City_New_York.html,120,New York,"New York City, New York"
River Rafting & Tubing (1),https://www.tripadvisor.com/Attractions-g60763-Activities-c61-t193-New_York_City_New_York.html,121,New York,"New York City, New York"
Rockefeller Center Christmas Tree,https://www.tripadvisor.com/Attraction_Review-g60763-d10020616-Reviews-Rockefeller_Center_Christmas_Tree-New_York_City_New_York.html,122,New York,"New York City, New York"
Photography Tours (12),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t269-New_York_City_New_York.html,123,New York,"New York City, New York"
One World Trade Center,https://www.tripadvisor.com/Attraction_Review-g60763-d11744535-Reviews-One_World_Trade_Center-New_York_City_New_York.html,124,New York,"New York City, New York"
Upper East Side,https://www.tripadvisor.com/Attraction_Review-g60763-d136033-Reviews-Upper_East_Side-New_York_City_New_York.html,125,New York,"New York City, New York"
Federal Hall,https://www.tripadvisor.com/Attraction_Review-g60763-d143124-Reviews-Federal_Hall-New_York_City_New_York.html,126,New York,"New York City, New York"
Beacon Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d535076-Reviews-Beacon_Theatre-New_York_City_New_York.html,127,New York,"New York City, New York"
Charging Bull (Wall Street Bull),https://www.tripadvisor.com/Attraction_Review-g60763-d1605557-Reviews-Charging_Bull_Wall_Street_Bull-New_York_City_New_York.html,128,New York,"New York City, New York"
South Street Seaport,https://www.tripadvisor.com/Attraction_Review-g60763-d108688-Reviews-South_Street_Seaport-New_York_City_New_York.html,129,New York,"New York City, New York"
Sea Glass Carousel,https://www.tripadvisor.com/Attraction_Review-g60763-d8567498-Reviews-Sea_Glass_Carousel-New_York_City_New_York.html,130,New York,"New York City, New York"
Museum of Jewish Heritage,https://www.tripadvisor.com/Attraction_Review-g60763-d555968-Reviews-Museum_of_Jewish_Heritage-New_York_City_New_York.html,131,New York,"New York City, New York"
Merchant's House Museum,https://www.tripadvisor.com/Attraction_Review-g60763-d285699-Reviews-Merchant_s_House_Museum-New_York_City_New_York.html,132,New York,"New York City, New York"
Columbus Circle,https://www.tripadvisor.com/Attraction_Review-g60763-d8492560-Reviews-Columbus_Circle-New_York_City_New_York.html,133,New York,"New York City, New York"
Movie & TV Tours (10),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t232-New_York_City_New_York.html,134,New York,"New York City, New York"
Lessons & Workshops (47),https://www.tripadvisor.com/Attractions-g60763-Activities-c41-t185-New_York_City_New_York.html,135,New York,"New York City, New York"
Bus Tours (21),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t174-New_York_City_New_York.html,136,New York,"New York City, New York"
Saturday Night Live - The Exhibition,https://www.tripadvisor.com/Attraction_Review-g60763-d8368459-Reviews-Saturday_Night_Live_The_Exhibition-New_York_City_New_York.html,137,New York,"New York City, New York"
Minskoff Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548696-Reviews-Minskoff_Theatre-New_York_City_New_York.html,138,New York,"New York City, New York"
Times Square Church,https://www.tripadvisor.com/Attraction_Review-g60763-d3339075-Reviews-Times_Square_Church-New_York_City_New_York.html,139,New York,"New York City, New York"
Hop-On Hop-Off Tours (7),https://www.tripadvisor.com/Attractions-g60763-Activities-c42-t229-New_York_City_New_York.html,140,New York,"New York City, New York"
Neil Simon Theatre,https://www.tripadvisor.com/Attraction_Review-g60763-d548678-Reviews-Neil_Simon_Theatre-New_York_City_New_York.html,141,New York,"New York City, New York"
Ripley's Believe It or Not - Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d1534451-Reviews-Ripley_s_Believe_It_or_Not_Times_Square-New_York_City_New_York.html,142,New York,"New York City, New York"
TriBeCa,https://www.tripadvisor.com/Attraction_Review-g60763-d143360-Reviews-TriBeCa-New_York_City_New_York.html,143,New York,"New York City, New York"
Trump Tower,https://www.tripadvisor.com/Attraction_Review-g60763-d4471749-Reviews-Trump_Tower-New_York_City_New_York.html,144,New York,"New York City, New York"
Stone Street Historic District,https://www.tripadvisor.com/Attraction_Review-g60763-d105043-Reviews-Stone_Street_Historic_District-New_York_City_New_York.html,145,New York,"New York City, New York"
Studio 54,https://www.tripadvisor.com/Attraction_Review-g60763-d3672463-Reviews-Studio_54-New_York_City_New_York.html,146,New York,"New York City, New York"
Friends Building,https://www.tripadvisor.com/Attraction_Review-g60763-d6413161-Reviews-Friends_Building-New_York_City_New_York.html,147,New York,"New York City, New York"
General Grant National Memorial,https://www.tripadvisor.com/Attraction_Review-g60763-d105812-Reviews-General_Grant_National_Memorial-New_York_City_New_York.html,148,New York,"New York City, New York"
The Museum at FIT,https://www.tripadvisor.com/Attraction_Review-g60763-d548861-Reviews-The_Museum_at_FIT-New_York_City_New_York.html,149,New York,"New York City, New York"
The Met Breuer,https://www.tripadvisor.com/Attraction_Review-g60763-d10062261-Reviews-The_Met_Breuer-New_York_City_New_York.html,150,New York,"New York City, New York"
Kings County Distillery,https://www.tripadvisor.com/Attraction_Review-g60763-d4558032-Reviews-Kings_County_Distillery-New_York_City_New_York.html,151,New York,"New York City, New York"
St. Patrick's Old Cathedral,https://www.tripadvisor.com/Attraction_Review-g60763-d559085-Reviews-St_Patrick_s_Old_Cathedral-New_York_City_New_York.html,152,New York,"New York City, New York"
Chinatown,https://www.tripadvisor.com/Attraction_Review-g60763-d181825-Reviews-Chinatown-New_York_City_New_York.html,153,New York,"New York City, New York"
Hayden Planetarium,https://www.tripadvisor.com/Attraction_Review-g60763-d102751-Reviews-Hayden_Planetarium-New_York_City_New_York.html,154,New York,"New York City, New York"
New York Stock Exchange,https://www.tripadvisor.com/Attraction_Review-g60763-d105045-Reviews-New_York_Stock_Exchange-New_York_City_New_York.html,155,New York,"New York City, New York"
Discovery Times Square,https://www.tripadvisor.com/Attraction_Review-g60763-d2154738-Reviews-Discovery_Times_Square-New_York_City_New_York.html,156,New York,"New York City, New York"
