addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Tangofox,https://addons.mozilla.org/en-US/firefox/addon/tangofox/?src=search,131,2681,1.8 MiB,6.2.2,2017-04-29T08:33:32Z,39,4.8718,Haven667,,False,Firefox,pdf
DataSheet Fire Finder,https://addons.mozilla.org/en-US/firefox/addon/datasheet-fire-finder/?src=search,132,57,34.3 KiB,1.0.1.1.1-signed.1-signed,2009-09-22T09:22:02Z,2,2.5,Javier Rubacha,http://www.jabox.com.ar,False,Firefox,pdf
Talkie,https://addons.mozilla.org/en-US/firefox/addon/talkie/?src=search,133,37,303.8 KiB,3.0.2,2017-05-01T15:34:26Z,0,0.0,Joel Purra,https://joelpurra.com/,False,Firefox,pdf
JabFox,https://addons.mozilla.org/en-US/firefox/addon/jabfox/?src=search,134,1397,65.0 KiB,1.1.2,2016-12-25T16:52:18Z,5,4.0,TobiasDiez,,False,Firefox,pdf
InlineDisposition 2,https://addons.mozilla.org/en-US/firefox/addon/inlinedisposition-2/?src=search,135,6053,5.4 KiB,0.1.1.1-signed.1-signed,2014-07-31T08:07:17Z,6,4.1667,def00111,,False,Firefox,pdf
vocaPOP,https://addons.mozilla.org/en-US/firefox/addon/vocapop/?src=search,136,60,67.8 KiB,0.4.0,2016-10-11T14:47:07Z,0,0.0,dave,http://www.ejectamenta.com/,False,Firefox,pdf
Tangerinefox,https://addons.mozilla.org/en-US/firefox/addon/tangerinefox/?src=search,137,1235,1.8 MiB,6.2.2,2017-04-29T08:35:09Z,14,4.5,Haven667,,False,Firefox,pdf
Find All,https://addons.mozilla.org/en-US/firefox/addon/find-all/?src=search,138,775,52.8 KiB,3.5.1-signed.1-signed,2013-10-20T18:15:27Z,68,4.1029,Justin Rodes,http://www.codedawn.com/,False,Firefox,pdf
Automatik Text Reader,https://addons.mozilla.org/en-US/firefox/addon/automatik-text-reader/?src=search,139,2208,88.5 KiB,2.3.1-signed.1-signed,2015-03-14T15:15:16Z,18,3.7778,Davide,,False,Firefox,pdf
Printrocket,https://addons.mozilla.org/en-US/firefox/addon/printrocket/?src=search,140,8,27.0 KiB,0.7.4.1-signed.1-signed,2011-10-30T22:04:35Z,0,0.0,Printrocket,http://www.printrocket.com/,False,Firefox,pdf
Dago Meta Search,https://addons.mozilla.org/en-US/firefox/addon/dago/?src=search,141,1,52.7 KiB,Dago.2.1.1-signed.1-signed,2011-11-04T10:42:59Z,0,0.0,Dago,http://dagosearch.tk/,False,Firefox,pdf
Gnome-Wine Extras,https://addons.mozilla.org/en-US/firefox/addon/gnome-wine-extras/?src=search,142,86,257.1 KiB,2.01,2016-05-10T16:38:29Z,0,0.0,heebijeebi,http://wintango.blogspot.de/,False,Firefox,pdf
Elementary Extras,https://addons.mozilla.org/en-US/firefox/addon/elementary-extras/?src=search,143,83,233.3 KiB,53.0,2017-04-23T15:48:47Z,0,0.0,heebijeebi,http://wintango.blogspot.de/,False,Firefox,pdf
Excel XLS Editor,https://addons.mozilla.org/en-US/firefox/addon/excel-xls-editor/?src=search,144,681,142.9 KiB,1.3.3,2017-01-18T17:58:13Z,1,5.0,officeonlinesystems,http://www.offidocs.com,False,Firefox,pdf
F1000 Browser Extension,https://addons.mozilla.org/en-US/firefox/addon/f1000-annotator/?src=search,145,1861,143.0 KiB,26.2.2,2017-02-22T11:52:34Z,8,4.625,F1000,http://f1000.com/workbench,False,Firefox,pdf
XML Digital Signature Tool,https://addons.mozilla.org/en-US/firefox/addon/xml-digital-signature-tool/?src=search,146,150,2.6 MiB,0.1.240.20130821,2013-08-22T07:41:51Z,3,4.3333,Subrata Mazumdar,,False,Firefox,pdf
Cache Download,https://addons.mozilla.org/en-US/firefox/addon/cachedownload/?src=search,147,2110,105.2 KiB,1.0.201703112311,2017-03-09T22:19:56Z,14,3.5,p-addons,https://bitbucket.org/phigdr64,False,Firefox,pdf
Snipshot,https://addons.mozilla.org/en-US/firefox/addon/snipshot/?src=search,148,10,14.0 KiB,1.0,2007-02-24T11:07:57Z,6,3.8333,Greg Dingle,http://snipshot.com,False,Firefox,pdf
printplus,https://addons.mozilla.org/en-US/firefox/addon/printplus/?src=search,149,609,8.2 KiB,0.5.1-signed.1-signed,2012-07-28T22:28:35Z,5,3.8,hATrayflood,,False,Firefox,pdf
Fearch,https://addons.mozilla.org/en-US/firefox/addon/fearchit/?src=search,150,99,40.2 KiB,1.0,2017-01-02T07:17:46Z,0,0.0,Deepjyoti Mondal,http://djmgit.github.io/,False,Firefox,pdf
Word Document Editor,https://addons.mozilla.org/en-US/firefox/addon/word-editor/?src=search,151,440,524.3 KiB,1.6.7,2017-01-28T07:38:03Z,2,5.0,officeonlinesystems,http://www.offidocs.com,False,Firefox,pdf
Endnote,https://addons.mozilla.org/en-US/firefox/addon/endnote/?src=search,152,21,21.0 KiB,0.6.1,2006-12-05T13:36:29Z,25,3.2,Marco Kuendig,www.kuendig.net,False,Firefox,pdf
doodalie firefox search addon by masterxagas,https://addons.mozilla.org/en-US/firefox/addon/doodaliecom/?src=search,153,,1.0 KiB,20110305,2011-03-05T02:01:59Z,0,0.0,masterxagas,http://anime.xagasflare-fate.net/,False,Firefox,pdf
Prot-On,https://addons.mozilla.org/en-US/firefox/addon/prot-on/?src=search,154,253,44.1 KiB,1.1.2.1-signed.1-signed,2014-09-18T03:33:56Z,0,0.0,Prot-On,http://prot-on.com/,False,Firefox,pdf
SEO Website Review,https://addons.mozilla.org/en-US/firefox/addon/seo-website-review/?src=search,155,100,38.7 KiB,1.0.1,2016-10-12T17:05:55Z,0,0.0,Vincent Zheng,https://www.metricbuzz.com/,False,Firefox,pdf
Save text content to File,https://addons.mozilla.org/en-US/firefox/addon/save-text-content-to-file/?src=search,156,349,271.7 KiB,1.2.2,2016-01-22T03:05:18Z,1,5.0,Francesco De Stefano,http://ulmdesign.mediamaster.eu/,False,Firefox,pdf
Offcloud.com Extension,https://addons.mozilla.org/en-US/firefox/addon/offcloud-com-extension/?src=search,157,241,95.9 KiB,0.1.6.3.1-signed.1-signed,2014-12-17T00:57:31Z,1,1.0,Offcloud,https://offcloud.com/,False,Firefox,pdf
"synopse,",https://addons.mozilla.org/en-US/firefox/addon/synopse/?src=search,158,8,10.6 KiB,0.77.1-signed.1-signed,2009-01-25T13:06:21Z,10,4.3,cburgdorfer,http://emcons.net,False,Firefox,pdf
