addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,is_error,platform,search_term
Hide Likes on Facebook Notifications,https://addons.mozilla.org/en-US/firefox/addon/hide-likes-on-facebook-notific/?src=search,99,100,66.9 KiB,0.2.1-signed.1-signed,2014-05-12T03:24:30Z,6,4.1667,Daniel Francis,http://sdanielf.github.io/,False,Firefox,facebook
Facebook Privacy Relabeller,https://addons.mozilla.org/en-US/firefox/addon/facebook-privacy-relabeller/?src=search,100,13,12.4 KiB,0.3.1-signed.1-signed,2014-10-04T18:33:20Z,0,0.0,Matt Davis,,False,Firefox,facebook
Facebook Font Size,https://addons.mozilla.org/en-US/firefox/addon/facebook-font-size/?src=search,101,48,6.1 KiB,1.0.0.1-signed.1-signed,2012-06-12T11:53:07Z,2,3.0,Ashley,http://www.technologymob.com/,False,Firefox,facebook
Facebook Chat Download,https://addons.mozilla.org/en-US/firefox/addon/facebook-chat-download/?src=search,102,808,49.7 KiB,1.1-signed.1-signed,2014-02-15T08:46:18Z,3,1.3333,Tostis,,False,Firefox,facebook
Gmail email Signature - WiseStamp,https://addons.mozilla.org/en-US/firefox/addon/wisestamp-email-signature-gmai/?src=search,103,23555,272.4 KiB,4.18.20,2017-03-07T09:07:36Z,301,4.3355,The WiseStamp Team,http://www.wisestamp.com/,False,Firefox,facebook
Dark Facebook Theme,https://addons.mozilla.org/en-US/firefox/addon/darkfacebooktheme/?src=search,104,590,13.7 KiB,1.991.1-signed.1-signed,2015-04-08T02:50:31Z,6,3.8333,Ultimate Planner,http://www.techdivingmag.com/,False,Firefox,facebook
Facebook Shared With Fixer,https://addons.mozilla.org/en-US/firefox/addon/facebook-shared-with-fixer/?src=search,105,12,195.3 KiB,initial.rev28.1-signed.1-signed,2013-07-04T08:33:39Z,4,3.0,Bengoa ltd.,http://www.hoyga.com/,False,Firefox,facebook
Facebook request,https://addons.mozilla.org/en-US/firefox/addon/facebook-request/?src=search,106,4,17.0 KiB,1.0.1-signed.1-signed,2011-03-18T08:34:45Z,1,1.0,Kjell Dr zoo little,,False,Firefox,facebook
iDislike Button For Facebook,https://addons.mozilla.org/en-US/firefox/addon/idislike-button-for-facebook/?src=search,107,51,367.2 KiB,0.6.3.1-signed.1-signed,2014-05-26T06:38:05Z,1,1.0,hatem zidi,http://www.hatemzidi.com/,False,Firefox,facebook
Facebook Clear,https://addons.mozilla.org/en-US/firefox/addon/facebook-clear/?src=search,108,45,12.3 KiB,0.1.2.1-signed.1-signed,2015-05-12T14:38:44Z,0,0.0,William Brendaw,http://brendaw.com/,False,Firefox,facebook
