addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
Online PDF Writer - PDFfiller,https://chrome.google.com/webstore/detail/online-pdf-writer-pdffill/bdlmcmbicabpphphmmbaaoldecjhnapi,45,962,65.9KiB,0.2.7,"February 20, 2017",6,2.83333333333,https://pdf-writer.pdffiller.com,https://pdf-writer.pdffiller.com,True,Chrome,pdf
PDF to FlipBook Viewer : dFlip,https://chrome.google.com/webstore/detail/pdf-to-flipbook-viewer-df/bbbnbmpdkfkndckfmcndgabefnmdedfp,46,928,904KiB,1.2.6300,"January 11, 2017",6,4.33333333333,flipbookplugin.com,http://flipbookplugin.com,True,Chrome,pdf
JPG to PDF Converter,https://chrome.google.com/webstore/detail/jpg-to-pdf-converter/mejjcnhjkiiahpmjdpebnahkoaijhacb,47,2103,10.9KiB,0.0.0.5,"March 1, 2017",8,3.25,,,True,Chrome,pdf
FlowPaper Accessible PDF Reader (Beta),https://chrome.google.com/webstore/detail/flowpaper-accessible-pdf/abfbbilkopolofdgekbdfgdmgaljmelb,48,834,2.19MiB,0.9398,"December 16, 2016",4,4.0,https://flowpaper.com,https://flowpaper.com,True,Chrome,pdf
Type On PDF - PDFfiller,https://chrome.google.com/webstore/detail/type-on-pdf-pdffiller/hahemlpbdlhjohpfplnbmalmfecghken,49,870,65.9KiB,0.2.7,"February 28, 2017",3,3.33333333333,https://type-on-pdf.pdffiller.com,https://type-on-pdf.pdffiller.com,True,Chrome,pdf
Sign PDF Documents Online - PDFfiller,https://chrome.google.com/webstore/detail/sign-pdf-documents-online/cafalijlelgpgieilkgamacddolbhiie,50,1030,65.9KiB,0.2.7,"February 28, 2017",3,3.66666666667,https://sign-pdf.pdffiller.com,https://sign-pdf.pdffiller.com,True,Chrome,pdf
Instant Translate: Select and Translate,https://chrome.google.com/webstore/detail/instant-translate-select/ihmgiclibbndffejedjimfjmfoabpcke,51,395435,1.52MiB,3.3.3,"April 28, 2017",3476,4.21720368239,insttranslate.com,http://insttranslate.com,True,Chrome,pdf
GistNote Web & PDF Highlighter,https://chrome.google.com/webstore/detail/gistnote-web-pdf-highligh/cbnaodkpfinfiipjblikofhlhlcickei,52,19283,4.6MiB,0.0.61,"April 19, 2017",137,4.36496350365,GistNote,https://www.gistnote.com,True,Chrome,pdf
Redact In PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/redact-in-pdf-documents-p/hbmemhbhajngakbimibicdeghbdmjlhi,53,671,65.9KiB,0.2.7,"February 24, 2017",1,1.0,https://redact-pdf.pdffiller.com,https://redact-pdf.pdffiller.com,True,Chrome,pdf
PDF Compressor,https://chrome.google.com/webstore/detail/pdf-compressor/ihecdaokieldcfabkpealocmdkkgdpec,54,1045,6.76KiB,0.0.0.3,"March 6, 2017",6,3.66666666667,,,True,Chrome,pdf
EasyPDFCombine,https://chrome.google.com/webstore/detail/easypdfcombine/kpocjpoifmommoiiiamepombpeoaehfh,55,7563258,712KiB,12.600.11.23085,"April 11, 2017",391,2.87212276215,easypdfcombine.com,http://easypdfcombine.com,True,Chrome,pdf
BeeLine Reader PDF Viewer,https://chrome.google.com/webstore/detail/beeline-reader-pdf-viewer/pmeknoingfjncbdhempgnkdgojickcko,56,640,695KiB,1.1.674,"September 5, 2016",15,3.6,beelinereader.com,http://beelinereader.com,True,Chrome,pdf
PDF Merge,https://chrome.google.com/webstore/detail/pdf-merge/hiagbhcincnckilkbbglilfchoehldmj,57,954,11.41KiB,0.0.0.1,"March 9, 2017",4,3.75,search.rspark.com,http://search.rspark.com,True,Chrome,pdf
Literal - PDF Reader,https://chrome.google.com/webstore/detail/literal-pdf-reader/aobcehhaeapnlhliodjobodhgmemimnl,58,536,436KiB,1.0.12,"April 23, 2017",9,4.0,https://literal.io,https://literal.io,True,Chrome,pdf
Add Signatures in PDF Forms - PDFfiller,https://chrome.google.com/webstore/detail/add-signatures-in-pdf-for/hlgolbaihnhjhppepchinkakcicepgdd,59,1085,65.91KiB,0.2.7,"February 28, 2017",4,1.75,https://signature-pdf.pdffiller.com,https://signature-pdf.pdffiller.com,True,Chrome,pdf
Livaio intelligent PDF viewer,https://chrome.google.com/webstore/detail/livaio-intelligent-pdf-vi/kebfkahdoojecahmpkbmiegdlfiedidf,60,427,3.22MiB,1.1.5,"November 6, 2016",11,3.54545454545,livaio.com,http://livaio.com,True,Chrome,pdf
PDF Translator,https://chrome.google.com/webstore/detail/pdf-translator/fcbnhmalionocfajdkpnlhmekghnmbii,61,2026,207KiB,2.7,"December 18, 2016",10,3.8,,,True,Chrome,pdf
PDF Convert Tab,https://chrome.google.com/webstore/detail/pdf-convert-tab/dhgmjcnnankiakilimffegjaalghdgmh,62,639,218KiB,1.0.3,"November 8, 2016",3,2.0,,,True,Chrome,pdf
Add Pages to PDF Documents - PDFfiller,https://chrome.google.com/webstore/detail/add-pages-to-pdf-document/pgcbljefbhcbgfmkeeogmedlffphnnpk,63,603,65.91KiB,0.2.7,"February 28, 2017",1,4.0,https://add-pages-to-pdf.pdffiller.com,https://add-pages-to-pdf.pdffiller.com,True,Chrome,pdf
Webpage to PDF Converter,https://chrome.google.com/webstore/detail/webpage-to-pdf-converter/hgokiphmganeipffnaimffmoicjeiibp,64,417,637KiB,0.0.0.2,"March 17, 2017",5,2.6,search.rspark.com,http://search.rspark.com,True,Chrome,pdf
Online PDF Reader – PDFfiller,https://chrome.google.com/webstore/detail/online-pdf-reader-%E2%80%93-pdffi/ooifnfadonpfikgbcieofenglmfbppkb,65,383,65.89KiB,0.2.7,"February 20, 2017",1,5.0,https://pdf-reader-online.pdffiller.com,https://pdf-reader-online.pdffiller.com,True,Chrome,pdf
