addon_name,addon_url,search_rank,active_user,size,version,release_date,number_review,rating,author_name,author_homepage,validated,platform,search_term
Natural News,https://chrome.google.com/webstore/detail/natural-news/nhgokgcnplbfnkjpejjgafogeecgaini,140,186,67.33KiB,1.21,"September 11, 2015",1,5.0,www.naturalnews.com,http://www.naturalnews.com,True,Chrome,news
Modern New Tab Page,https://chrome.google.com/webstore/detail/modern-new-tab-page/ogllliimbhgmclkgjldeffhjbhaenapo,141,53331,1.4MiB,2015.11.16.1,"January 19, 2016",1209,4.32919768404,,,True,Chrome,news
Dallas Cowboys News,https://chrome.google.com/webstore/detail/dallas-cowboys-news/eacmifjbfopfhnkcijnajgikpegoamhj,142,167,111KiB,0.1.30,"September 4, 2016",1,5.0,kaistudios.com,http://kaistudios.com,True,Chrome,news
Kill All News Feeds,https://chrome.google.com/webstore/detail/kill-all-news-feeds/efcpihmloomplhflpabplgdpddgoagpi,143,87,1.15MiB,1.0.0,"September 13, 2014",4,4.0,,,True,Chrome,news
Forum Buddy,https://chrome.google.com/webstore/detail/forum-buddy/miohieghbedgldpicmaafnbnmcnbiohd,144,923,344KiB,1.4.1.7,"November 27, 2016",58,4.86206896552,Kyle Asaff,http://kylesbox.com,True,Chrome,news
Indian Newspapers,https://chrome.google.com/webstore/detail/indian-newspapers/dfheomfpopjjlmhdhlodbahiemdmhbma,145,1401,35.03KiB,0.0.2,"December 24, 2015",27,4.37037037037,,,True,Chrome,news
Inter Milan News,https://chrome.google.com/webstore/detail/inter-milan-news/ccfdlcphhkalfofeppkimbphadnliaji,146,285,16.0MiB,0.5.67,"May 16, 2016",4,4.5,interonlychrome.appspot.com,http://interonlychrome.appspot.com,True,Chrome,news
TamilWin - 24 Hours Tamil News Service,https://chrome.google.com/webstore/detail/tamilwin-24-hours-tamil-n/ceffmcmdfkakfklndgkcoapajkinllna,147,268,45.74KiB,1.0,"July 28, 2013",10,3.9,,,True,Chrome,news
hack the news,https://chrome.google.com/webstore/detail/hack-the-news/oehghgdldepmknikdpjakmpbonlkmnfa,148,137,127KiB,0.0.9,"July 30, 2015",4,5.0,github.com/robbiewain,https://github.com/robbiewain/hack-the-news,True,Chrome,news
Sporting News by MyTab,https://chrome.google.com/webstore/detail/sporting-news-by-mytab/lkpklafhmkpkdbkelfmbjdfdnmopkbcj,149,40,692KiB,1.4,"April 27, 2017",1,4.0,www.mytab.net,http://www.mytab.net,True,Chrome,news
NBC News,https://chrome.google.com/webstore/detail/nbc-news/jkfmaphpmejdenfhdjkampomcabjfmem,150,889,299KiB,2.0.1,"September 24, 2013",5,3.2,wips.com,http://wips.com,True,Chrome,news
TuneYou Radio,https://chrome.google.com/webstore/detail/tuneyou-radio/plaapjbgohfgkalmmjpakodbpomahebn,151,63080,111KiB,2.8,"January 19, 2017",629,3.55166931638,2bon.net,http://2bon.net,True,Chrome,news
Custom RSS News,https://chrome.google.com/webstore/detail/custom-rss-news/pfogecppckimhabdpppalilellgoeoef,152,5319,425KiB,1.0.8,"August 25, 2015",8,4.0,wips.com,http://wips.com,True,Chrome,news
Juventus News,https://chrome.google.com/webstore/detail/juventus-news/kjlncoobnpggkmhghdpldidmffhfmkjl,153,97,98.17KiB,0.1.30,"July 19, 2016",7,4.85714285714,https://www.kaistudios.com,https://www.kaistudios.com,True,Chrome,news
Plidd - Latest!,https://chrome.google.com/webstore/detail/plidd-latest/aoedkdcaoghaedkghehaahmhknbfpdjp,154,33,16.42KiB,3.0,"May 9, 2013",1,1.0,plidd.com,http://plidd.com,True,Chrome,news
Hide Sponsored Facebook News Feed Items,https://chrome.google.com/webstore/detail/hide-sponsored-facebook-n/klecbfkplmpfkimdmngacpphohkdjlec,155,824,39.81KiB,1.2,"December 3, 2013",4,4.0,,,True,Chrome,news
League of Legends (LoL) News,https://chrome.google.com/webstore/detail/league-of-legends-lol-new/bdaddbhbcnlcofaolngdpaagbfhfgijg,156,273,1.31MiB,0.0.7,"September 5, 2016",3,3.66666666667,www.lol-extension.com,http://www.lol-extension.com,True,Chrome,news
Hacker News Colors,https://chrome.google.com/webstore/detail/hacker-news-colors/adailobllebnhioglgkmaioilhlkdden,157,237,40.55KiB,1.3,"May 16, 2013",4,3.75,Martin Lissmats,https://news.ycombinator.com/,True,Chrome,news
Custom RSS News,https://chrome.google.com/webstore/detail/custom-rss-news/bkcphcbfaicdnoblihbjedpokcpenaol,158,5950,425KiB,1.0.8,"August 25, 2015",2,3.5,wips.com,http://wips.com,True,Chrome,news
Hacker News Sorter,https://chrome.google.com/webstore/detail/hacker-news-sorter/anmdmfcnlenkjbiffghfjglgjpchneeo,159,62,36.58KiB,1.6.9,"September 19, 2014",4,5.0,thejspr,https://github.com/thejspr/hacker-news-sorter,True,Chrome,news
WoT RS - World of Tanks Рейтинги и статистика,https://chrome.google.com/webstore/detail/wot-rs-world-of-tanks-%D1%80%D0%B5%D0%B9/foenldfolgodmliadmnefcblhnbgcidf,160,946,616KiB,0.77.5.1,"April 3, 2016",54,4.59259259259,,,True,Chrome,news
Star Wars News Will Be With You… Always…,https://chrome.google.com/webstore/detail/star-wars-news-will-be-wi/epobmfkbbmadlonolkcjgkajgnlkmhki,161,834,655KiB,1.0.0.2,"February 3, 2016",3,2.33333333333,,,True,Chrome,news
SC Corinthians Paulista News,https://chrome.google.com/webstore/detail/sc-corinthians-paulista-n/dhdnlpbddibniinfjollbakcjaaeklap,162,459,139KiB,0.1.30,"July 20, 2016",27,4.92592592593,https://www.kaistudios.com,https://www.kaistudios.com,True,Chrome,news
Fake News Detector,https://chrome.google.com/webstore/detail/fake-news-detector/bienanbbogpilbimmgkkiodifokgohjf,163,27,42.61KiB,1.2,"July 30, 2014",3,1.66666666667,www.nullcod.com,http://www.nullcod.com,True,Chrome,news
"Student Edge Latest News, Discounts & Comps",https://chrome.google.com/webstore/detail/student-edge-latest-news/hcchbljidhbadehochcjnjckpiialmco,164,84,558KiB,0.0.0.6,"March 9, 2017",5,4.8,https://studentedge.org,https://studentedge.org,True,Chrome,news
Feminist News Feed Eradicator for Facebook,https://chrome.google.com/webstore/detail/feminist-news-feed-eradic/oinahlcekofgcokcbodjjfijnjhkgkhe,165,200,182KiB,0.6.4,"November 3, 2015",6,4.16666666667,,,True,Chrome,news
Hacked Hacker News,https://chrome.google.com/webstore/detail/hacked-hacker-news/hlddllcemddpbekleofllndfidcgbgdp,166,121,81.04KiB,0.944,"January 22, 2013",1,5.0,prophetjohn,https://github.com/j-clark/hacked_hacker_news,True,Chrome,news
Fenerbahçe News,https://chrome.google.com/webstore/detail/fenerbah%C3%A7e-news/hodbjabnddpmfoicfgalefchjjckccho,167,269,149KiB,0.1.30,"July 20, 2016",65,4.81538461538,https://www.kaistudios.com,https://www.kaistudios.com,True,Chrome,news
