job_name,job_id,job_url,listing_type,company,location,search_rank
Data Scientist (H/F),db2f458a968ce7c3,https://www.indeed.fr/voir-emploi?jk=db2f458a968ce7c3,organicJob,Manitou Group,Ancenis (44),90
Data Scientist (H/F),bd85bcb855457667,https://www.indeed.fr/voir-emploi?jk=bd85bcb855457667,organicJob,Aragon ERH,La Défense (92),91
Ingénieur Data Scientist H/F,f199c8c5bddf4ca6,https://www.indeed.fr/voir-emploi?jk=f199c8c5bddf4ca6,organicJob,Sogeti High Tech,Toulouse (31),92
Data science teacher,9c27bec4d3f6c2f6,https://www.indeed.fr/voir-emploi?jk=9c27bec4d3f6c2f6,organicJob,OpenClassrooms,Paris (75),93
Data Scientist F/H,339b4d2f4843de64,https://www.indeed.fr/voir-emploi?jk=339b4d2f4843de64,organicJob,SAVANE CONSULTING,Lyon 8e (69),94
Data Scientist spécialiste séries temporelles H/F,b16947a72ad00cd2,https://www.indeed.fr/voir-emploi?jk=b16947a72ad00cd2,organicJob,,Aubervilliers (93),95
Consultant Data Science – Digital Marketing H/F,308650c9f7ff53ac,https://www.indeed.fr/voir-emploi?jk=308650c9f7ff53ac,organicJob,Capgemini,Rennes (35),96
DATA SCIENTIST F/H,3d8a50054f2d848d,https://www.indeed.fr/voir-emploi?jk=3d8a50054f2d848d,organicJob,INGELIANCE TECHNOLOGIES,Bordeaux (33),97
INGENIEUR DATE SCIENTIST (F/H),d159ee783b3926c3,https://www.indeed.fr/voir-emploi?jk=d159ee783b3926c3,organicJob,REGION BRETAGNE,Rennes (35),98
Data Engineer (H/F),ca9deb9cbcc6673e,https://www.indeed.fr/voir-emploi?jk=ca9deb9cbcc6673e,organicJob,LaFourchette,Nantes (44),99
Data Scientist H/F,79d2b050c0f595c3,https://www.indeed.fr/voir-emploi?jk=79d2b050c0f595c3,organicJob,COM NETWORK,Aix-en-Provence (13),100
Data Scientist,ac2b53c6c3c3f06f,https://www.indeed.fr/voir-emploi?jk=ac2b53c6c3c3f06f,organicJob,ManaSoft,Évry (91),101
Data Scientist Marketing Client (H/F),5c319b401a7c7348,https://www.indeed.fr/voir-emploi?jk=5c319b401a7c7348,organicJob,Cdiscount,Bordeaux (33),102
Internship Data scientist engineer in R&D team H/F,d241ce1fcb161e3c,https://www.indeed.fr/voir-emploi?jk=d241ce1fcb161e3c,organicJob,Misys,Paris (75),103
Data Scientist H/F,a30e35e20bbb5b82,https://www.indeed.fr/voir-emploi?jk=a30e35e20bbb5b82,organicJob,Steria France,Toulouse (31),104
